time,temperature_2m
2025-07-16T00:00,16.0
2025-07-16T01:00,15.5
2025-07-16T02:00,14.8
2025-07-16T03:00,14.5
2025-07-16T04:00,14.3
2025-07-16T05:00,14.6
2025-07-16T06:00,15.9
2025-07-16T07:00,17.3
2025-07-16T08:00,18.7
2025-07-16T09:00,19.4
2025-07-16T10:00,20.2
2025-07-16T11:00,21.4
2025-07-16T12:00,22.7
2025-07-16T13:00,22.7
2025-07-16T14:00,16.8
2025-07-16T15:00,17.6
2025-07-16T16:00,17.5
2025-07-16T17:00,18.0
2025-07-16T18:00,17.8
2025-07-16T19:00,17.6
2025-07-16T20:00,17.4
2025-07-16T21:00,16.8
2025-07-16T22:00,16.4
2025-07-16T23:00,16.2
2025-07-17T00:00,15.6
2025-07-17T01:00,15.0
2025-07-17T02:00,14.6
2025-07-17T03:00,14.2
2025-07-17T04:00,14.1
2025-07-17T05:00,14.5
2025-07-17T06:00,15.3
2025-07-17T07:00,16.2
2025-07-17T08:00,16.9
2025-07-17T09:00,17.5
2025-07-17T10:00,17.2
2025-07-17T11:00,16.7
2025-07-17T12:00,16.6
2025-07-17T13:00,16.9
2025-07-17T14:00,17.4
2025-07-17T15:00,18.4
2025-07-17T16:00,18.9
2025-07-17T17:00,19.5
2025-07-17T18:00,19.5
2025-07-17T19:00,19.5
2025-07-17T20:00,19.1
2025-07-17T21:00,18.7
2025-07-17T22:00,18.4
2025-07-17T23:00,18.0
2025-07-18T00:00,17.0
2025-07-18T01:00,16.2
2025-07-18T02:00,15.7
2025-07-18T03:00,15.3
2025-07-18T04:00,15.4
2025-07-18T05:00,15.9
2025-07-18T06:00,16.5
2025-07-18T07:00,18.1
2025-07-18T08:00,19.4
2025-07-18T09:00,20.2
2025-07-18T10:00,21.2
2025-07-18T11:00,21.6
2025-07-18T12:00,22.0
2025-07-18T13:00,22.2
2025-07-18T14:00,22.5
2025-07-18T15:00,23.2
2025-07-18T16:00,24.8
2025-07-18T17:00,24.6
2025-07-18T18:00,24.0
2025-07-18T19:00,23.2
2025-07-18T20:00,22.3
2025-07-18T21:00,21.4
2025-07-18T22:00,20.5
2025-07-18T23:00,19.7
2025-07-19T00:00,19.4
2025-07-19T01:00,18.8
2025-07-19T02:00,17.9
2025-07-19T03:00,17.1
2025-07-19T04:00,16.3
2025-07-19T05:00,17.3
2025-07-19T06:00,19.0
2025-07-19T07:00,21.0
2025-07-19T08:00,22.9
2025-07-19T09:00,24.3
2025-07-19T10:00,25.3
2025-07-19T11:00,26.3
2025-07-19T12:00,27.3
2025-07-19T13:00,28.2
2025-07-19T14:00,28.6
2025-07-19T15:00,28.6
2025-07-19T16:00,28.5
2025-07-19T17:00,28.2
2025-07-19T18:00,27.5
2025-07-19T19:00,26.4
2025-07-19T20:00,24.9
2025-07-19T21:00,23.6
2025-07-19T22:00,22.6
2025-07-19T23:00,21.6
2025-07-20T00:00,20.8
2025-07-20T01:00,20.0
2025-07-20T02:00,19.4
2025-07-20T03:00,19.3
2025-07-20T04:00,19.7
2025-07-20T05:00,20.5
2025-07-20T06:00,21.6
2025-07-20T07:00,23.4
2025-07-20T08:00,25.5
2025-07-20T09:00,27.2
2025-07-20T10:00,28.4
2025-07-20T11:00,29.1
2025-07-20T12:00,29.7
2025-07-20T13:00,30.0
2025-07-20T14:00,30.0
2025-07-20T15:00,29.9
2025-07-20T16:00,29.6
2025-07-20T17:00,29.1
2025-07-20T18:00,28.5
2025-07-20T19:00,27.5
2025-07-20T20:00,26.3
2025-07-20T21:00,25.2
2025-07-20T22:00,24.3
2025-07-20T23:00,23.5
2025-07-21T00:00,22.7
2025-07-21T01:00,22.0
2025-07-21T02:00,21.3
2025-07-21T03:00,21.0
2025-07-21T04:00,21.4
2025-07-21T05:00,22.1
2025-07-21T06:00,22.7
2025-07-21T07:00,22.9
2025-07-21T08:00,22.9
2025-07-21T09:00,22.9
2025-07-21T10:00,22.8
2025-07-21T11:00,22.7
2025-07-21T12:00,22.6
2025-07-21T13:00,23.2
2025-07-21T14:00,23.9
2025-07-21T15:00,24.4
2025-07-21T16:00,24.5
2025-07-21T17:00,24.5
2025-07-21T18:00,24.2
2025-07-21T19:00,23.5
2025-07-21T20:00,22.6
2025-07-21T21:00,21.8
2025-07-21T22:00,21.1
2025-07-21T23:00,20.6
2025-07-22T00:00,20.0
2025-07-22T01:00,19.2
2025-07-22T02:00,18.5
2025-07-22T03:00,18.2
2025-07-22T04:00,18.4
2025-07-22T05:00,19.1
2025-07-22T06:00,20.0
2025-07-22T07:00,21.3
2025-07-22T08:00,22.9
2025-07-22T09:00,24.2
2025-07-22T10:00,25.0
2025-07-22T11:00,25.4
2025-07-22T12:00,25.5
2025-07-22T13:00,25.1
2025-07-22T14:00,24.4
2025-07-22T15:00,23.8
2025-07-22T16:00,23.6
2025-07-22T17:00,23.5
2025-07-22T18:00,23.1
2025-07-22T19:00,22.0
2025-07-22T20:00,20.5
2025-07-22T21:00,19.3
2025-07-22T22:00,18.4
2025-07-22T23:00,17.6
